Специальные символы HTML
символ	html-код	десятичный
код	описание
 	&nbsp;	&#160;	Неразрывный пробел
 	&ensp;	&#8194;	Узкий пробел (еn-шириной в букву n)
 	&emsp;	&#8195;	Широкий пробел (em-шириной в букву m)
–	&ndash;	&#8211;	Узкое тире (en-тире)
—	&mdash;	&#8212;	Широкое тире (em -тире)
	&shy;	&#173;	Мягкий перенос
а́	 	&#769;	Ударение, ставится после "ударной" буквы
©	&copy;	&#169;	Копирайт
®	&reg;	&#174;	Знак зарегистрированной торговой марки
™	&trade;	&#8482;	Знак торговой марки
º	&ordm;	&#186;	Копье Марса
ª	&ordf;	&#170;	Зеркало Венеры
‰	&permil;	&#8240;	Промилле
π	&pi;	&#960;	Пи (используйте Times New Roman)
¦	&brvbar;	&#166;	Вертикальный пунктир
§	&sect;	&#167;	Параграф
°	&deg;	&#176;	Градус
µ	&micro;	&#181;	Знак "микро"
¶	&para;	&#182;	Знак абзаца
…	&hellip;	&#8230;	Многоточие
‾	&oline;	&#8254;	Надчеркивание
´	&acute;	&#180;	Знак ударения
№	 	&#8470;	Знак номера
🔍	 	&#128269;	Лупа (наклонённая влево)
🔎	 	&#128270;	Лупа (наклонённая вправо)
☎	 	&#9742;	Телефон
✉	 	&#9993;	Конверт, email, почта
💾	 	&#128190;	Дискета
🛠	 	&#128736;	Молоток и гаечный ключ, настройка
🔒	 	&#128274;	Замок закрыт
🔓	 	&#128275;	Замок открыт
🔔	 	&#128276;	Колокольчик
🔕	 	&#128277;	Колокольчик перечеркнутый
🗑	 	&#128465;	Урна
🔥	 	&#128293;	Огонь
🛇	 	&#128711;	Запрещено
⛔	 	&#9940;	Вход запрещен (кирпич)
⛳	 	&#9971;	Фраг в воронке, местоположение, место встречи, гольф

знаки арифметических и математических операций
×	&times;	&#215;	Умножить
÷	&divide;	&#247;	Разделить
<	&lt;	&#60;	Меньше
>	&gt;	&#62;	Больше
±	&plusmn;	&#177;	Плюс/минус
¹	&sup1;	&#185;	Степень 1
²	&sup2;	&#178;	Степень 2
³	&sup3;	&#179;	Степень 3
¬	&not;	&#172;	Отрицание
¼	&frac14;	&#188;	Одна четвертая
½	&frac12;	&#189;	Одна вторая
¾	&frac34;	&#190;	Три четверти
⁄	&frasl;	&#8260;	Дробная черта
−	&minus;	&#8722;	Минус
≤	&le;	&#8804;	Меньше или равно
≥	&ge;	&#8805;	Больше или равно
≈	&asymp;	&#8776;	Приблизительно (почти) равно
≠	&ne;	&#8800;	Не равно
≡	&equiv;	&#8801;	Тождественно
√	&radic;	&#8730;	Квадратный корень (радикал)
∞	&infin;	&#8734;	Бесконечность
∑	&sum;	&#8721;	Знак суммирования
∏	&prod;	&#8719;	Знак произведения
∂	&part;	&#8706;	Частичный дифференциал
∫	&int;	&#8747;	Интеграл
∀	&forall;	&#8704;	Для всех (видно только если жирным шрифтом)
∃	&exist;	&#8707;	Существует
∅	&empty;	&#8709;	Пустое множество
Ø	&Oslash;	&#216;	Диаметр
∈	&isin;	&#8712;	Принадлежит
∉	&notin;	&#8713;	Не принадлежит
∋	&ni;	&#8727;	Содержит
⊂	&sub;	&#8834;	Является подмножеством
⊃	&sup;	&#8835;	Является надмножеством
⊄	&nsub;	&#8836;	Не является подмножеством
⊆	&sube;	&#8838;	Является подмножеством либо равно
⊇	&supe;	&#8839;	Является надмножеством либо равно
⊕	&oplus;	&#8853;	Плюс в кружке
⊗	&otimes;	&#8855;	Знак умножения в кружке
⊥	&perp;	&#8869;	Перпендикулярно
∠	&ang;	&#8736;	Угол
∧	&and;	&#8743;	Логическое И
∨	&or;	&#8744;	Логическое ИЛИ
∩	&cap;	&#8745;	Пересечение
∪	&cup;	&#8746;	Объединение
знаки валют
€	&euro;	&#8364;	Евро
¢	&cent;	&#162;	Цент
£	&pound;	&#163;	Фунт
¤	&current;	&#164;	Знак валюты
¥	&yen;	&#165;	Знак йены и юаня
ƒ	&fnof;	&#402;	Знак флорина
₽	 	&#8381;	Знак рубля
маркеры, птички, галочки, check mark, крестики
•	&bull;	&#8226;	Простой маркер
○	 	&#9675;	Круг
·	&middot;	&#183;	Средняя точка
†	 	&#8224;	Крестик
‡	 	&#8225;	Двойной крестик
♠	&spades;	&#9824;	Пики
♣	&clubs;	&#9827;	Трефы
♥	&hearts;	&#9829;	Червы
♦	&diams;	&#9830;	Бубны
◊	&loz;	&#9674;	Ромб
❤	 	&#10084;	Жирное сердце
✓	 	&#10003;	Символ галочка
✔	 	&#10004;	Жирная отметка галочкой
𐄂	 	&#65794;	Крестик
🗸	 	&#128504;	Тонкая галочка
